date,rack_config,position,basket_no
20221208,A,1,85
20221208,A,2,43
20221208,A,3,55
20221208,A,4,49
20221208,A,5,23
20221208,B,1,87
20221208,B,2,88
20221208,B,3,42
20221208,B,4,X
20221208,B,5,46
20221208,C,1,32
20221208,C,2,35
20221208,C,3,26
20221208,C,4,54
20221208,D,1,X
20221208,D,2,72
20221208,D,3,79
20221208,D,4,22
20221208,E,1,57
20221208,E,2,52
20221208,E,3,66
20221208,E,4,21
20221208,F,1,30
20221208,F,2,40
20221208,F,3,20
20221208,F,4,61
20241102,A,1,43
20241102,A,2,88
20241102,A,3,35
20241102,A,4,45
20241102,A,5,52
20241102,A,6,44
20241102,A,7,16
20241102,A,8,37
20241102,B,1,51
20241102,B,2,20
20241102,B,3,66
20241102,B,4,42
20241102,B,5,49
20241102,B,6,87
20241102,B,7,95
20241102,B,8,p4
20241102,C,1,57
20241102,C,2,21
20241102,C,3,93
20241102,C,4,p5
20241102,C,5,46
20241102,C,6,p7
20241102,C,7,136
20241102,C,8,26
20241102,D,1,30
20241102,D,2,47
20241102,D,3,40
20241102,D,4,61
20241102,D,5,24
20241102,D,6,p8
20241102,D,7,85
20241102,D,8,p2
20241102,E,1,193
20241102,E,2,22
20241102,E,3,171
20241102,E,4,p3
20241102,E,5,p6
20241102,E,6,55
20241102,E,7,29
20241102,E,8,99
