date,temp,rack_config,rack_no
20221208,28.5,A,209
20221208,28.5,B,42
20221208,28.5,C,177
20221208,28.5,D,65
20221208,28.5,E,150
20221208,28.5,F,24
20221208,31,A,224
20221208,31,B,15
20221208,31,C,163
20221208,31,D,190
20221208,31,E,130
20221208,31,F,75
20221208,33,A,248
20221208,33,B,156
20221208,33,C,187
20221208,33,D,49
20221208,33,E,30
20221208,33,F,13
20221208,34,A,241
20221208,34,B,14
20221208,34,C,38
20221208,34,D,192
20221208,34,E,83
20221208,34,F,48
20221208,35,A,237
20221208,35,B,229
20221208,35,C,193
20221208,35,D,76
20221208,35,E,53
20221208,35,F,16
20221208,36,A,202
20221208,36,B,66
20221208,36,C,152
20221208,36,D,44
20221208,36,E,19
20221208,36,F,34
20221208,37,A,247
20221208,37,B,106
20221208,37,C,110
20221208,37,D,17
20221208,37,E,89
20221208,37,F,94
20221208,38,A,200
20221208,38,B,58
20221208,38,C,145
20221208,38,D,84
20221208,38,E,45
20221208,38,F,25
