"","Species","Number.x","Temp.Cat","Light_Value","micromol.L.s","Treatment","Run","Chamber.Vol.L","Date","micromol.s","micromol.s.blank","micromol.s.adj","surface.area.cm2","micromol.cm2.s","micromol.cm2.h","fragment_ID","Number.y","Timepoint","ID","site","genus","Morphology","mtORF","PocHistone","species","TPCBASS"
"1","POC","150","22","0",-0.00759346504559278,"Field","TPCBASS_Run12",0.609,2022-12-10,-0.004624420212766,-0.000303865915839003,-0.004320554296927,45.058167749236,-9.5888370804875e-05,-0.34519813489755,"POC-150","150","Dec","POC-150Dec","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"2","POC","150","25","0",-0.0208285197945183,"Field","TPCBASS_Run12",0.594,2022-12-10,-0.0123721407579438,-0.000303865915839003,-0.0120682748421048,104.238783626162,-0.0001157752846137,-0.416791024609321,"POC-150","150","Dec","POC-150Dec","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"3","POC","150","28","0",-0.014951318127251,"Field","TPCBASS_Run13",0.591,2022-12-10,-0.00883622901320532,-0.00117993155578238,-0.00765629745742294,72.8278711221746,-0.000105128673122669,-0.378463223241608,"POC-150","150","Dec","POC-150Dec","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"4","POC","150","30","0",-0.0190690506475487,"Field","TPCBASS_Run13",0.595,2022-12-10,-0.0113460851352915,-0.00117993155578238,-0.0101661535795091,67.3879924203667,-0.000150860015477128,-0.543096055717661,"POC-150","150","Dec","POC-150Dec","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"5","POC","150","32","0",-0.0517570912939657,"Field","TPCBASS_Run14",0.555,2022-12-10,-0.028725185668151,-0.0023939448282084,-0.0263312408399426,174.957206749665,-0.00015050103581968,-0.541803728950849,"POC-150","150","Dec","POC-150Dec","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"6","POC","150","36","0",-0.0157045921603721,"Field","TPCBASS_Run14",0.6,2022-12-10,-0.00942275529622329,-0.0023939448282084,-0.00702881046801489,35.9770799163791,-0.000195369120683275,-0.703328834459788,"POC-150","150","Dec","POC-150Dec","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"7","POC","154","22","0",-0.00904666041275805,"Field","TPCBASS_Run15",0.604,2022-12-11,-0.00546418288930586,-0.000206565853658553,-0.00525761703564731,61.5532838127824,-8.54157034357197e-05,-0.307496532368591,"POC-154","154","Dec","POC-154Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"8","POC","154","25","0",-0.0133941322901851,"Field","TPCBASS_Run16",0.603,2022-12-11,-0.00807666177098164,-0.0005767406173469,-0.00749992115363474,73.7930108918502,-0.000101634573017037,-0.365884462861332,"POC-154","154","Dec","POC-154Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"9","POC","154","28","0",-0.0188664229249013,"Field","TPCBASS_Run18",0.605,2022-12-11,-0.0114141858695653,-0.00133005234782617,-0.0100841335217391,76.0303803579163,-0.00013263294849069,-0.477478614566484,"POC-154","154","Dec","POC-154Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"10","POC","154","30","0",-0.0151265948134373,"Field","TPCBASS_Run17",0.607,2022-12-11,-0.00918184305175643,-0.00192966723981901,-0.00725217581193742,46.1549174875037,-0.000157126828661343,-0.565656583180836,"POC-154","154","Dec","POC-154Dec","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
