fragment_ID,Number,Timepoint,ID,site,genus,Morphology,mtORF,PocHistone,species,TPCBASS
POC-150,150,Dec,POC-150Dec,Manava,Pocillopora,grandis,Haplotype_1a,,P. grandis,Yes
POC-154,154,Dec,POC-154Dec,Manava,Pocillopora,verrucosa,P verrucosa Haplotype 3b,NA,P. verrucosa,Yes
POC-156,156,Dec,POC-156Dec,Manava,Pocillopora,grandis,Haplotype_1a,,P. grandis,Yes
POC-159,159,Dec,POC-159Dec,Manava,Pocillopora,grandis,Haplotype_1a,,P. grandis,Yes
POC-162,162,Dec,POC-162Dec,Manava,Pocillopora,verrucosa,P verrucosa Haplotype 3b,NA,P. verrucosa,Yes
POC-165,165,Dec,POC-165Dec,Manava,Pocillopora,grandis,Haplotype_1a,,P. grandis,Yes
POC-167,167,Dec,POC-167Dec,Manava,Pocillopora,grandis,Haplotype_1a,P grandis,P. grandis,Yes
POC-168,168,Dec,POC-168Dec,Manava,Pocillopora,grandis,Haplotype_1a,,P. grandis,Yes
POC-169,169,Dec,POC-169Dec,Manava,Pocillopora,verrucosa,P verrucosa Haplotype 3b,NA,P. verrucosa,Yes
POC-175,175,Dec,POC-175Dec,Manava,Pocillopora,verrucosa,P verrucosa Haplotype 3b,NA,P. verrucosa,Yes
POC-178,178,Dec,POC-178Dec,Manava,Pocillopora,grandis,Unk long Branch off  Hap 1a,,P. grandis,Yes
POC-179,179,Dec,POC-179Dec,Manava,Pocillopora,verrucosa,P verrucosa Haplotype 3b,NA,P. verrucosa,Yes
POC-181,181,Dec,POC-181Dec,Manava,Pocillopora,verrucosa,P verrucosa Haplotype 3b,NA,P. verrucosa,Yes
