"","Species","Number.x","Temp.Cat","Light_Value","micromol.L.s","Treatment","Run","Chamber.Vol.L","Date","micromol.s","micromol.s.blank","micromol.s.adj","surface.area.cm2","micromol.cm2.s","micromol.cm2.h","fragment_ID","Number.y","Timepoint","ID","site","genus","Morphology","mtORF","PocHistone","species","TPCBASS"
"1","POC","150","22","620",0.0153949485199486,"Field",7,0.592,2022-05-13,0.00911380952380956,-0.000508280778814309,0.00962209030262387,45.058167749236,0.000213548192997418,0.768773494790704,"POC-150",150,"May","POC-150May","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"2","POC","150","25","620",0.0141121153846149,"Field",5,0.59,2022-05-13,0.00832614807692282,-0.000583115906322977,0.0089092639832458,104.238783626162,8.54697615735582e-05,0.30769114166481,"POC-150",150,"May","POC-150May","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"3","POC","150","28","620",0.0145649999999996,"Field",5,0.592,2022-05-13,0.00862247999999978,-0.000583115906322977,0.00920559590632276,72.8278711221746,0.000126402100795719,0.455047562864589,"POC-150",150,"May","POC-150May","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"4","POC","150","30","620",0.0151069017379681,"Field",7,0.58,2022-05-13,0.0087620030080215,-0.000508280778814309,0.00927028378683581,67.3879924203667,0.000137565810374758,0.49523691734913,"POC-150",150,"May","POC-150May","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"5","POC","150","32","620",0.00440916930230686,"Field",6,0.602,2022-05-13,0.00265431991998873,-0.00180552189716838,0.00445984181715711,174.957206749665,2.54910437815711e-05,0.091767757613656,"POC-150",150,"May","POC-150May","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"6","POC","150","36","620",-0.00974907692307701,"Field",6,0.584,2022-05-13,-0.00569346092307697,-0.00180552189716838,-0.00388793902590859,35.9770799163791,-0.000108067109252481,-0.389041593308933,"POC-150",150,"May","POC-150May","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"7","POC","154","22","620",0.0113119285833825,"Field",8,0.606,2022-05-14,0.00685502872152976,-0.000204231381193093,0.00705926010272286,61.5532838127824,0.000114685353330522,0.412867271989879,"POC-154",154,"May","POC-154May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"8","POC","154","25","620",0.0215172546678244,"Field",8,0.598,2022-05-14,0.012867318291359,-0.000204231381193093,0.0130715496725521,73.7930108918502,0.000177138044844241,0.637696961439266,"POC-154",154,"May","POC-154May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"9","POC","154","28","620",0.0129954420689483,"Field",9,0.609,2022-05-14,0.0079142242199895,-0.00128666058382601,0.00920088480381552,76.0303803579163,0.000121015898651328,0.435657235144781,"POC-154",154,"May","POC-154May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"10","POC","154","30","620",0.00559457180500655,"Field",10,0.612,2022-05-14,0.00342387794466401,-0.000846190496998746,0.00427006844166276,46.1549174875037,9.25160020667108e-05,0.333057607440159,"POC-154",154,"May","POC-154May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"11","POC","154","32","620",0.00417500999723154,"Field",10,0.602,2022-05-14,0.00251335601833339,-0.000846190496998746,0.00335954651533213,40.9343887333493,8.2071495856859e-05,0.295457385084692,"POC-154",154,"May","POC-154May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"12","POC","154","36","620",0.00182819686411144,"Field",9,0.595,2022-05-14,0.00108777713414631,-0.00128666058382601,0.00237443771797232,106.783243018943,2.22360517515946e-05,0.0800497863057404,"POC-154",154,"May","POC-154May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"13","POC","156","22","620",0.0138969722138325,"Field",8,0.592,2022-05-14,0.00822700755058887,-0.000204231381193093,0.00843123893178196,101.299494327605,8.32308096673725e-05,0.299630914802541,"POC-156",156,"May","POC-156May","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
"14","POC","156","25","620",0.00664006482593038,"Field",8,0.598,2022-05-14,0.00397075876590637,-0.000204231381193093,0.00417499014709946,127.182788150723,3.28266914714255e-05,0.118176089297132,"POC-156",156,"May","POC-156May","Manava","Pocillopora","grandis","Haplotype_1a",NA,"P. grandis","Yes"
