Run,Light_Level,Light_Value,Date,Start.time,Stop.time
Run1,17_560,0,20241028,13:20,13:34
Run1,17_0,1,20241028,13:35,13:50
Run1,ramp0,2,20241028,13:51,14:09
Run1,21_560,3,20241028,14:10,14:25
Run1,21_0,4,20241028,14:26,14:41
Run1,ramp1,5,20241028,14:42,14:54
Run1,24_560,6,20241028,14:55,15:10
Run1,24_0,7,20241028,15:11,15:26
Run1,ramp2,8,20241028,15:27,15:44
Run1,28_560,9,20241028,15:45,16:00
Run1,28_0,10,20241028,16:01,16:16
Run1,ramp3,11,20241028,16:17,16:29
Run1,30_560,12,20241028,16:30,16:45
Run1,30_0,13,20241028,16:46,17:01
Run1,ramp4,14,20241028,17:02,17:09
Run1,32_560,15,20241028,17:10,17:25
Run1,32_0,16,20241028,17:26,17:41
Run1,ramp5,17,20241028,17:42,18:04
Run1,35_560,18,20241028,18:05,18:20
Run1,35_0,19,20241028,18:21,18:37
Run1,ramp6,20,20241028,18:38,18:49
Run1,38_560,21,20241028,18:50,19:05
Run1,38_0,22,20241028,19:07,19:22
Run1,ramp7,23,20241028,19:23,19:36
Run1,40_560,24,20241028,19:37,19:52
Run1,40_0,25,20241028,19:53,20:08
Run2,17_560,0,20241029,12:25,12:40
Run2,17_0,1,20241029,12:43,12:58
Run2,ramp0,2,20241029,12:59,13:14
Run2,21_560,3,20241029,13:15,13:30
Run2,21_0,4,20241029,13:31,13:46
Run2,ramp1,5,20241029,13:47,14:04
Run2,24_560,6,20241029,14:05,14:20
Run2,24_0,7,20241029,14:21,14:36
Run2,ramp2,8,20241029,14:37,14:49
Run2,28_560,9,20241029,14:50,15:05
Run2,28_0,10,20241029,15:06,15:21
Run2,ramp3,11,20241029,15:22,15:29
Run2,30_560,12,20241029,15:30,15:45
Run2,30_0,13,20241029,15:48,16:03
Run2,ramp4,14,20241029,16:04,16:14
Run2,32_560,15,20241029,16:15,16:35
Run2,32_0,16,20241029,16:37,16:52
Run2,ramp5,17,20241029,16:53,17:09
Run2,35_560,18,20241029,17:10,17:25
Run2,35_0,19,20241029,17:27,17:43
Run2,ramp6,20,20241029,17:44,17:59
Run2,38_560,21,20241029,18:00,18:15
Run2,38_0,22,20241029,18:17,18:32
Run2,ramp7,23,20241029,18:33,18:49
Run2,40_560,24,20241029,18:50,19:05
Run2,40_0,25,20241029,19:07,19:22
