Date,colony_id,Chamber.Channel,Position,Run,Species,Stage,Temp.Cat,Chamber.Vol.L,Original.ID,Collection.Date,Notes
20241028,APL-002,1,1,Run1,A. pulchra,Adult,ramp,0.382,purple004,20241027PM,
20241028,APL-012,2,2,Run1,A. pulchra,Adult,ramp,0.378,24,20241027PM,
20241028,APL-015,3,3,Run1,A. pulchra,Adult,ramp,0.387,20,20241027PM,
20241028,APL-008,4,4,Run1,A. pulchra,Adult,ramp,0.402,42,20241027PM,
20241028,APL-010,5,5,Run1,A. pulchra,Adult,ramp,0.4,purple003,20241027PM,
20241028,APL-014,6,6,Run1,A. pulchra,Adult,ramp,0.386,26,20241027PM,
20241028,APL-006,7,7,Run1,A. pulchra,Adult,ramp,0.39,193,20241027PM,
20241028,BLK-003,8,8,Run1,Blank,Blank,ramp,0.388,NA,20241027PM,
20241028,APL-005,9,9,Run1,A. pulchra,Adult,ramp,0.386,29,20241027PM,
20241028,APL-007,10,10,Run1,A. pulchra,Adult,ramp,0.39,35,20241027PM,
20241028,APL-013,11,11,Run1,A. pulchra,Adult,ramp,0.383,66,20241027PM,
20241028,APL-016,12,12,Run1,A. pulchra,Adult,ramp,0.37,purple005,20241027PM,
20241028,APL-009,13,13,Run1,A. pulchra,Adult,ramp,0.366,93,20241027PM,
20241028,APL-004,14,14,Run1,A. pulchra,Adult,ramp,0.38,171,20241027PM,
20241028,BLK-004,15,15,Run1,Blank,Blank,ramp,0.4,NA,20241027PM,
20241028,APL-003,16,16,Run1,A. pulchra,Adult,ramp,0.39,61,20241027PM,
20241028,APL-011,17,17,Run1,A. pulchra,Adult,ramp,0.38,46,20241027PM,
20241028,APL-001,18,18,Run1,A. pulchra,Adult,ramp,0.36,99,20241027PM,
20241029,APL-022,1,1,Run2,A. pulchra,Adult,ramp,0.382,61,20241029AM,
20241029,APL-018,2,2,Run2,A. pulchra,Adult,ramp,0.385,87,20241029AM,
20241029,APL-017,3,3,Run2,A. pulchra,Adult,ramp,0.38,44,20241029AM,
20241029,APL-020,4,4,Run2,A. pulchra,Adult,ramp,0.398,99,20241029AM,
20241029,APL-019,5,5,Run2,A. pulchra,Adult,ramp,0.384,22,20241029AM,
20241029,BLK-005,6,6,Run2,Blank,Blank,ramp,0.372,NA,20241029AM,
20241029,APL-024,7,7,Run2,A. pulchra,Adult,ramp,0.36,29,20241029AM,
20241029,APL-025,8,8,Run2,A. pulchra,Adult,ramp,0.378,193,20241029AM,
20241029,APL-027,9,9,Run2,A. pulchra,Adult,ramp,0.373,42,20241029AM,
20241029,APL-029,10,10,Run2,A. pulchra,Adult,ramp,0.369,49,20241029AM,
20241029,BLK-006,11,11,Run2,Blank,Blank,ramp,0.384,NA,20241029AM,
20241029,APL-030,12,12,Run2,A. pulchra,Adult,ramp,0.37,20,20241029AM,
20241029,APL-021,13,13,Run2,A. pulchra,Adult,ramp,0.369,93,20241029AM,
20241029,APL-023,14,14,Run2,A. pulchra,Adult,ramp,0.372,171,20241029AM,
20241029,APL-032,15,15,Run2,A. pulchra,Adult,ramp,0.378,85,20241029AM,
20241029,APL-031,16,16,Run2,A. pulchra,Adult,ramp,0.368,153,20241029AM,
20241029,APL-026,17,17,Run2,A. pulchra,Adult,ramp,0.38,35,20241029AM,
20241029,APL-028,18,18,Run2,A. pulchra,Adult,ramp,0.39,45,20241029AM,
