Date,fragment_ID,Chamber.Channel,Chamber ,Position,Run,Temp.Cat,Treatment,Chamber.Vol.L,Notes
20220513,BLK-10-25,10,5,5,5,25,Field,0.614,
20220513,BLK-11-36,5,11,11,6,36,Field,0.614,
20220513,BLK-12-32,10,5,5,6,32,Field,0.616,
20220513,BLK-13-30,5,11,11,7,30,Field,0.614,
20220513,BLK-14-22,10,5,5,7,22,Field,0.615,
20220514,BLK-14-25,1,1,1,8,25,Field,0.61,
20220514,BLK-15-22,6,6,7,8,22,Field,0.614,
20220514,BLK-16-36,1,1,1,9,36,Field,0.606,
20220514,BLK-17-28,6,6,7,9,28,Field,0.602,
20220514,BLK-18-32,5,5,5,10,32,Field,0.618,
20220514,BLK-19-30,10,10,12,10,30,Field,0.608,
20220516,BLK-20-30,5,5,5,11,30,Field,0.612,
20220516,BLK-21-28,10,10,10,11,28,Field,0.61,
20220516,BLK-22-36,10,10,10,12,36,Field,0.602,
20220516,BLK-23-32,5,5,5,12,32,Field,0.614,
20220516,BLK-24-22,5,5,5,13,22,Field,0.614,
20220516,BLK-25-25,10,10,10,13,25,Field,0.61,
20220523,BLK-26-25,5,5,5,14,25,Field,0.614,
20220523,BLK-27-22,10,10,10,14,22,Field,0.608,
20220523,BLK-28-30,5,5,5,15,30,Field,0.617,
20220523,BLK-29-28,10,10,10,15,28,Field,0.608,
20220523,BLK-30-32,5,5,5,16,32,Field,0.609,
20220523,BLK-31-36,10,10,10,16,36,Field,0.604,
20220524,BLK-32-28,5,5,5,17,28,Field,0.614,
20220524,BLK-33-22,10,10,10,17,22,Field,0.61,
20220524,BLK-34-25,10,10,10,18,25,Field,0.609,
20220524,BLK-35-30,5,5,5,18,30,Field,0.616,
20220524,BLK-36-32,1,1,1,19,32,Field,0.612,
20220524,BLK-37-36,6,6,11,19,36,Field,0.614,
20220525,BLK-38-28,5,5,5,20,28,Field,0.616,
20220525,BLK-39-22,10,10,10,20,22,Field,0.608,
20220525,BLK-40-30,5,5,5,21,30,Field,0.62,
20220525,BLK-41-25,10,10,10,21,25,Field,0.614,
20220525,BLK-42-36,5,5,5,22,36,Field,0.61,
20220525,BLK-43-32,10,10,10,22,32,Field,0.612,
20220526,BLK-44-30,5,5,5,23,30,Field,0.614,
20220526,BLK-45-22,10,10,10,23,22,Field,0.61,
20220526,BLK-46-32,5,5,5,24,32,Field,0.616,
20220526,BLK-47-25,10,10,10,24,25,Field,0.612,
20220526,BLK-48-36,5,5,5,25,36,Field,0.618,
20220526,BLK-49-28,10,10,10,25,28,Field,0.612,
20220529,BLK-50-28,1,1,1,26,28,Field,0.604,
20220529,BLK-51-30,6,6,7,26,30,Field,0.612,
20220529,BLK-52-32,1,1,1,27,32,Field,0.608,
20220529,BLK-53-36,6,6,7,27,36,Field,0.612,
20220529,BLK-54-25,1,1,1,28,25,Field,0.61,
20220529,BLK-55-22,6,6,7,28,22,Field,0.615,
20220513,BLK-9-28,5,11,11,5,28,Field,0.594,
20220513,POC-150-22,7,2,2,7,22,Field,0.592,
20220513,POC-150-25,7,2,2,5,25,Field,0.59,
20220513,POC-150-28,2,8,8,5,28,Field,0.592,
20220513,POC-150-30,2,8,8,7,30,Field,0.58,
20220513,POC-150-32,7,2,2,6,32,Field,0.602,
20220513,POC-150-36,2,8,8,6,36,Field,0.584,
20220514,POC-154-22,7,7,8,8,22,Field,0.606,
20220514,POC-154-25,2,2,2,8,25,Field,0.598,
20220514,POC-154-28,7,7,8,9,28,Field,0.609,
20220514,POC-154-30,6,6,7,10,30,Field,0.612,
20220514,POC-154-32,1,1,1,10,32,Field,0.602,
20220514,POC-154-36,2,2,2,9,36,Field,0.595,
20220514,POC-156-22,9,9,11,8,22,Field,0.592,
20220514,POC-156-25,4,4,4,8,25,Field,0.598,
20220514,POC-156-28,9,9,11,9,28,Field,0.595,
20220514,POC-156-30,8,8,10,10,30,Field,0.586,
20220514,POC-156-32,3,3,3,10,32,Field,0.59,
20220514,POC-156-36,4,4,4,9,36,Field,0.604,
20220516,POC-159-22,1,1,1,13,22,Field,0.572,
20220516,POC-159-25,6,6,11,13,25,Field,0.596,
20220516,POC-159-28,6,6,11,11,28,Field,0.597,
20220516,POC-159-30,1,1,1,11,30,Field,0.59,
20220516,POC-159-32,1,1,1,12,32,Field,0.581,
20220516,POC-159-36,6,6,11,12,36,Field,0.586,
20220516,POC-162-22,3,3,3,13,22,Field,0.594,
20220516,POC-162-25,8,8,8,13,25,Field,0.597,
20220516,POC-162-28,8,8,8,11,28,Field,0.6,
20220516,POC-162-30,3,3,3,11,30,Field,0.602,
20220516,POC-162-32,3,3,3,12,32,Field,0.59,
20220516,POC-162-36,8,8,8,12,36,Field,0.598,
20220523,POC-165-22,7,7,7,14,22,Field,0.6,
20220523,POC-165-25,2,2,2,14,25,Field,0.6,
20220523,POC-165-28,7,7,7,15,28,Field,0.58,
20220523,POC-165-30,2,2,2,15,30,Field,0.578,
20220523,POC-165-32,2,2,2,16,32,Field,0.582,
20220523,POC-165-36,7,7,7,16,36,Field,0.584,
20220523,POC-167-22,9,9,11,14,22,Field,0.6,
20220523,POC-167-25,4,4,4,14,25,Field,0.592,
20220523,POC-167-28,9,9,11,15,28,Field,0.584,
20220523,POC-167-30,4,4,4,15,30,Field,0.588,
20220523,POC-167-32,4,4,4,16,32,Field,0.6,
20220523,POC-167-36,9,9,11,16,36,Field,0.58,
20220524,POC-168-22,6,6,12,17,22,Field,0.602,
20220524,POC-168-25,9,9,12,18,25,Field,0.599,
20220524,POC-168-28,1,1,1,17,28,Field,0.6,
20220524,POC-168-30,4,4,4,18,30,Field,0.588,
20220524,POC-168-32,5,5,5,19,32,Field,0.588,
20220524,POC-168-36,10,10,10,19,36,Field,0.582,
20220524,POC-169-22,7,7,7,17,22,Field,0.59,
20220524,POC-169-25,8,8,8,18,25,Field,0.595,
20220524,POC-169-28,2,2,2,17,28,Field,0.608,
20220524,POC-169-30,3,3,3,18,30,Field,0.587,
20220524,POC-169-32,4,4,4,19,32,Field,0.566,
20220524,POC-169-36,9,9,12,19,36,Field,0.583,
20220525,POC-175-22,9,9,12,20,22,Field,0.604,
