"","fragment_ID","rss","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","Number","Timepoint","ID","site","genus","Morphology","mtORF","PocHistone","species","TPCBASS"
"1","POC-150",0.0548289348228705,0.170371296208379,22,-Inf,32.793,NA,1.34274715212824,NA,10.793,Inf,8.988,NA,150,"May","POC-150May","Manava","Pocillopora","grandis","Haplotype_1a","P. grandis","P. grandis","Yes"
"2","POC-154",0.00121170711089872,0.194956379937453,25.503,4.532,42.263,NA,1.13880871139859,NA,16.76,37.731,6.927,NA,154,"May","POC-154May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"3","POC-156",0.00807767416403363,0.180324572023948,30.34,3.896,33.968,0.787862372738585,NA,2.76824195350367,3.628,30.072,3.978,NA,156,"May","POC-156May","Manava","Pocillopora","grandis","Haplotype_1a","P. grandis","P. grandis","Yes"
"4","POC-159",0.00730696727407497,0.346177591079403,30.903,11.684,33.375,1.18345080207628,NA,NA,2.472,21.691,2.735,NA,159,"May","POC-159May","Manava","Pocillopora","grandis","Haplotype_1a","","P. grandis","Yes"
"5","POC-162",0.0077160010546034,0.138570630010953,22,-Inf,34.041,NA,0.834284193134084,NA,12.041,Inf,9.78,NA,162,"May","POC-162May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"6","POC-165",0.0171593448350396,0.251947281186474,28.026,1.621,35.507,0.821076088708244,3.27429950209084,2.91551850836062,7.481,33.886,5.356,-2.4532234133826,165,"May","POC-165May","Manava","Pocillopora","grandis","Haplotype_1a","P. grandis","P. grandis","Yes"
"7","POC-167",0.00149221970477705,0.353285221887298,30.413,-24.063,33.26,0.354858626955379,NA,1.58471912236069,2.847,57.323,6.54,NA,167,"May","POC-167May","Manava","Pocillopora","grandis","Haplotype_1a","P grandis","P. grandis","Yes"
"8","POC-169",0.0386323382577082,0.287907811810403,32.88,-Inf,35.883,0.266396913795024,NA,1.41057362309713,3.003,Inf,8.299,NA,169,"May","POC-169May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"9","POC-175",0.0225151486151453,0.367505712210556,25,-Inf,43.13,NA,1.13874676887221,NA,18.13,Inf,3.028,NA,175,"May","POC-175May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"10","POC-178",0.00225067369012027,0.195942696556746,32.044,-9.898,34.805,0.479858440706036,NA,1.85448809658059,2.761,44.703,5.025,NA,178,"May","POC-178May","Manava","Pocillopora","grandis","Unk long Branch off  Hap 1a","P. grandis","P. grandis","Yes"
"11","POC-179",0.00650023915697433,0.365961813244533,28.364,3.686,34.331,NA,4.54729079666303,NA,5.967,30.645,4.701,NA,179,"May","POC-179May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
"12","POC-181",0.00400432335702467,0.25441510146775,29.844,1.102,52.796,0.679786070209904,0.50623781454101,2.43254651886046,22.952,51.694,9.739,0.173548255668894,181,"May","POC-181May","Manava","Pocillopora","verrucosa","P verrucosa Haplotype 3b",NA,"P. verrucosa","Yes"
