fragment_ID,rss,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
POC-150,0.05484770276991554,0.17151834383697062,22,-Inf,32.921,NA,1.3427471521282373,NA,10.921,Inf,8.837,NA
POC-154,0.0012120898423990801,0.19494765912571174,25.503,4.523000000000003,42.262,NA,1.138808711398588,NA,16.759,37.739,6.928000000000001,NA
POC-156,0.008077674164033636,0.18032457321063342,30.34,3.896000000000001,33.968,0.7878623727385851,NA,2.768241953503665,3.6280000000000037,30.072000000000003,3.9780000000000015,NA
POC-157,0.006112013933284989,0.1586668575463489,29.429000000000002,-Inf,32.64,-0.11174214427107808,6.808208022915699,0.8719886164892292,3.2109999999999985,Inf,8.9410000000000025,-6.919950167186777
POC-159,0.002619747034019532,0.22995784093159055,31.386000000000003,-6.777000000000001,34.103,0.5535593063928789,NA,2.0503958582938258,2.7169999999999987,40.88,4.758999999999997,NA
POC-162,0.0077127414407407,0.13864767480916992,22,-Inf,34.032,NA,0.8342841931340836,NA,12.031999999999996,Inf,9.777000000000001,NA
POC-165,0.010664924044781096,0.17250557664799868,30.12,-Inf,33.908,0.027768449353844097,NA,1.0345813867474427,3.7880000000000003,Inf,10.168999999999997,NA
POC-167,0.005717007291679671,0.3280903344034808,22,-Inf,58.633,NA,0.23801976988256218,NA,36.633,Inf,5.021000000000001,NA
POC-168,0.01606480657495437,0.18944919664771914,22,-Inf,34.939,NA,0.6905375857519458,NA,12.939,Inf,11.176000000000002,NA
POC-169,0.03863233825770816,0.28790781248977454,32.88,-Inf,35.883,0.2663969137950243,NA,1.41057362309713,3.003,Inf,8.298999999999996,NA
POC-174,0.006988149180701553,0.20895666513161557,30.936999999999998,-Inf,34.858000000000004,0.29113997486544885,NA,1.454480615953617,3.9210000000000065,Inf,8.034999999999997,NA
POC-175,0.022513558440291393,0.36842050840341967,25,-Inf,43.150000000000006,NA,1.1383559328766983,NA,18.150000000000006,Inf,3.048000000000002,NA
POC-178,0.002250673690120271,0.19594269654716576,32.044,-9.898,34.805,0.4798584407060357,NA,1.8544880965805923,2.761000000000003,44.703,5.025000000000002,NA
POC-179,0.0068042889762236665,0.4009445153206604,28.182000000000002,8.323,34.264,0.9684350786662227,4.547290796663033,3.5273225915338893,6.082000000000001,25.941000000000003,4.169999999999998,-3.57885571799681
POC-181,0.0040043233570246735,0.25441510136389367,29.844,1.1020000000000003,52.796,0.679786070209904,0.5062378145410101,2.432546518860457,22.951999999999998,51.694,9.739000000000004,0.17354825566889387
POC-183,0.007534756592937367,0.3545602892585914,30.712,2.597999999999999,59.198,0.6414462019552888,NA,2.291503384256629,28.486,56.6,10.675999999999998,NA
